RAJ2000,DEJ2000,pcS,paS,N
143.3133333333333,8.277916666666666,0.967,0.0,60
143.16933333333333,8.583166666666665,0.02,0.863,51
143.47879166666664,8.777555555555555,0.844,0.0,32
143.21379166666665,9.24397222222222,0.042,0.845,71
143.2697083333333,9.260083333333332,0.929,0.0,28
143.33645833333333,9.368944444444443,0.833,0.125,24
143.5113333333333,9.479194444444444,0.864,0.045,22
144.94095833333333,8.751083333333332,0.0,0.914,35
145.58966666666666,9.045694444444443,0.955,0.045,22
146.06124999999997,9.650027777777776,0.875,0.0,32
146.07320833333333,9.669805555555554,0.018,0.945,55
145.46849999999998,9.844333333333331,0.0,0.88,25
144.26279166666666,9.243055555555554,0.844,0.016,64
143.81591666666665,9.765138888888888,0.0,0.931,29
145.04629166666663,9.951194444444443,0.935,0.0,31
145.17874999999998,10.480805555555554,0.0,0.879,33
144.49499999999998,10.299138888888887,0.0,0.867,30
141.93587499999998,8.528666666666666,0.865,0.077,52
141.9962083333333,8.878472222222221,0.0,0.967,30
142.47945833333333,8.784055555555554,0.0,0.935,62
142.30049999999997,8.803694444444444,0.0,0.805,41
142.42591666666664,9.077305555555554,0.0,1.0,32
141.86862499999998,9.238972222222221,0.0,1.0,19
143.00549999999998,9.812444444444443,0.972,0.0,36
141.77758333333333,9.555416666666666,0.889,0.037,27
142.18524999999997,9.788083333333333,0.875,0.042,24
142.32866666666663,10.082083333333332,0.962,0.0,26
143.75841666666665,9.920083333333332,0.02,0.959,49
143.15241666666665,9.840527777777776,0.0,1.0,33
143.5115833333333,10.108694444444444,0.845,0.0,58
143.32462499999997,10.046499999999998,0.018,0.945,55
143.82291666666666,10.218027777777776,0.0,1.0,30
143.05575,10.004805555555555,0.925,0.0,40
143.1098333333333,10.106888888888887,0.0,0.967,30
143.30749999999998,10.19136111111111,0.0,0.952,62
142.89674999999997,10.112194444444443,0.825,0.0,40
142.84254166666665,10.240888888888888,0.914,0.029,35
143.5105833333333,10.524333333333331,0.966,0.0,29
144.77412499999997,10.779472222222221,1.0,0.0,36
144.42804166666664,10.776527777777776,0.0,0.889,63
144.0199583333333,10.809499999999998,0.0,0.929,28
142.56145833333332,10.58811111111111,0.033,0.82,61
143.11604166666666,11.048277777777777,0.946,0.027,37
143.43129166666665,11.621749999999999,0.882,0.0,51
143.12862499999997,11.715583333333331,0.864,0.017,59
138.4955,8.626194444444444,0.914,0.034,58
137.37204166666666,8.460416666666665,0.0,1.0,34
136.95579166666664,8.52147222222222,0.0,0.9,20
137.41541666666666,8.70461111111111,0.0,0.806,31
139.098875,9.423305555555554,0.96,0.0,50
140.04404166666666,9.24936111111111,0.0,0.889,27
139.73458333333332,9.494194444444442,0.0,0.966,29
139.4613333333333,9.693222222222222,1.0,0.0,25
138.0653333333333,9.403083333333331,0.923,0.0,52
138.92512499999998,10.146555555555555,0.03,0.97,33
138.97916666666666,10.132527777777776,1.0,0.0,27
138.99774999999997,10.16486111111111,0.974,0.026,39
136.82029166666663,8.86197222222222,0.02,0.922,51
136.4080833333333,9.441583333333332,0.042,0.875,24
137.30062499999997,9.329055555555554,0.0,0.868,38
136.76212499999997,9.638833333333332,0.971,0.0,35
135.73037499999998,9.241333333333332,0.037,0.926,27
135.81224999999998,9.240472222222222,0.0,1.0,27
135.38666666666666,9.36447222222222,0.923,0.038,26
136.20179166666665,9.788666666666666,0.915,0.0,59
136.78425,10.241138888888887,0.0,0.958,24
136.74741666666665,10.426611111111109,0.982,0.0,57
135.8338333333333,10.11711111111111,0.0,0.828,29
135.7745833333333,10.142027777777777,0.0,0.894,66
135.79687499999997,10.15197222222222,0.844,0.031,32
135.96641666666665,10.347249999999999,0.0,0.96,25
136.10808333333333,10.470805555555554,0.949,0.017,59
137.58675,9.994527777777776,0.962,0.0,26
137.59849999999997,10.071333333333332,0.844,0.0,32
137.24137499999998,10.30272222222222,0.982,0.0,56
137.81854166666665,10.523555555555554,0.968,0.032,31
138.85199999999998,10.915222222222221,0.0,0.93,43
138.11704166666664,10.721277777777777,0.069,0.931,29
137.1565,10.38825,0.0,0.909,33
137.6367083333333,10.84636111111111,0.0,0.946,37
137.23812499999997,10.757305555555554,0.043,0.913,23
137.65441666666663,11.145916666666665,0.038,0.808,52
137.60537499999998,11.17922222222222,0.914,0.0,35
137.71391666666665,11.294583333333332,0.857,0.0,28
137.32716666666664,11.427277777777777,1.0,0.0,31
140.31487499999997,10.294749999999999,1.0,0.0,36
140.4634583333333,10.541583333333332,0.0,0.964,28
140.5375,10.650333333333332,0.875,0.0,16
141.21462499999998,10.444833333333332,0.0,1.0,58
141.649625,10.905277777777776,0.905,0.048,21
141.53912499999998,11.064388888888887,0.0,1.0,35
140.23233333333332,10.698027777777776,0.0,1.0,24
139.5188333333333,10.885694444444443,0.952,0.0,21
141.16145833333331,11.441249999999998,0.031,0.875,32
140.615875,11.915055555555554,0.875,0.0,24
142.09574999999998,11.272055555555553,0.815,0.0,27
142.37175,11.645305555555554,0.0,0.923,65
142.1475833333333,11.604361111111109,0.811,0.027,37
142.51574999999997,11.796388888888888,0.0,0.921,38
142.41241666666664,12.047777777777776,0.971,0.029,34
141.23920833333332,11.541527777777777,0.0,0.969,32
141.54279166666666,11.73972222222222,0.97,0.0,33
141.2660833333333,12.340833333333332,0.0,0.958,24
142.25279166666664,12.503694444444443,0.0,1.0,28
141.7335,12.442888888888888,0.0,1.0,38
142.06441666666666,12.863527777777776,0.0,0.983,59
141.79466666666664,12.875583333333331,0.0,0.833,24
139.67825,11.427805555555555,0.944,0.0,36
140.19774999999998,11.774083333333332,0.0,0.972,36
139.9309583333333,12.037166666666664,0.0,0.881,42
140.00337499999998,12.253444444444442,0.862,0.0,29
138.86804166666664,11.834749999999998,0.0,1.0,31
138.79037499999998,11.953833333333332,0.0,1.0,23
138.39829166666664,12.440805555555555,0.0,0.967,30
138.4453333333333,12.537527777777775,0.0,0.833,30
139.62675,12.859694444444443,0.85,0.0,20
138.8855833333333,12.50161111111111,0.014,0.863,73
139.12737499999997,13.099194444444443,0.016,0.952,63
139.1483333333333,13.153944444444443,0.921,0.026,38
140.37454166666666,12.274666666666665,0.0,0.828,29
140.08062499999997,12.574416666666664,0.0,0.812,32
141.50495833333332,12.924555555555553,0.0,0.906,32
141.4168333333333,13.13497222222222,0.028,0.889,36
141.90474999999998,13.254666666666665,0.889,0.019,54
141.4142083333333,13.406055555555554,0.0,0.974,39
139.52645833333332,13.472305555555554,0.024,0.976,41
140.59966666666665,13.736861111111109,0.0,1.0,29
