ra_deg,dec_deg,spin
196.51853,55.65603,-1
202.96896,20.00106,-1
207.163,43.41242,1
208.09475,21.53935,-1
212.68938,15.2094,-1
215.12704,10.43209,-1
220.38342,44.51277,-1
230.96556,58.05312,1
235.02815,20.68058,-1
244.07458,47.04531,-1
259.19884,61.92012,1
259.68215,58.13514,1
277.64873,42.69269,-1
279.80101,55.64177,-1
343.15974,6.09367,1
344.58165,26.06192,-1
345.32803,14.33948,-1
347.23823,12.04802,-1
349.71917,6.87724,-1
357.96117,3.08271,-1
359.34997,30.99216,-1
47.128,20.77226,-1
159.78972,41.68687,-1
165.7969,27.9726,-1
